,Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating,Total Deaths,Total Kills
209,tabseN,"'BIG', 'PENTA', 'MOUZ'",1912,50478,1552,1.04,1.05,38799.0,40351.0
210,zeph,"'ORDER', 'Chiefs', 'Ground Zero'",555,14146,585,1.06,1.05,9749.0,10334.0
211,Sobol,"'Wisla Krakow', 'PACT'",784,21196,1115,1.08,1.05,13937.0,15052.0
212,iM,"'GamerLegion', 'Nexus'",766,20549,833,1.06,1.05,13883.0,14716.0
213,JW,'fnatic',1932,50772,2519,1.07,1.05,35985.0,38504.0
214,Ramz1kBO$$,"'Tengri', 'Syman'",425,11070,553,1.07,1.05,7899.0,8452.0
215,HZ,"'TYLOO', 'CyberZen', 'AllGamers'",500,12856,691,1.08,1.05,8637.0,9328.0
216,cajunb,"'North', 'TSM', 'OpTic', 'Dignitas'",1745,45680,2884,1.1,1.05,28839.0,31723.0
217,mou,"'Gambit', 'K23', 'HellRaisers', 'Syman'",1489,39475,2484,1.1,1.05,24839.0,27323.0
218,sdy,'Spirit',1054,27638,1872,1.11,1.05,17018.0,18890.0
219,KRIMZ,'fnatic',1772,46627,3043,1.1,1.05,30429.0,33472.0
220,Marcelious,"'Apeks', '777', 'NOREG'",464,12520,627,1.08,1.05,7837.0,8464.0
221,TeSeS,"'Heroic', 'Copenhagen Flames'",812,21706,1011,1.07,1.05,14442.0,15453.0
222,yay,"'Complexity', 'Orgless'",653,17182,604,1.05,1.05,12079.0,12683.0
223,Grim,"'Liquid', 'Triumph', 'Dignitas', 'Spacestation'",875,23028,746,1.05,1.05,14919.0,15665.0
224,Qikert,"'AVANGAR', 'Virtus.pro'",1246,32938,1993,1.09,1.05,22144.0,24137.0
225,stavn,"'Heroic', 'Fragsters'",1100,29323,1412,1.07,1.05,20171.0,21583.0
226,juanflatroo,"'BLINK', 'Secret'",544,14533,402,1.04,1.05,10049.0,10451.0
227,SicK,"'Rogue', 'Misfits', 'TSM'",795,20701,1040,1.07,1.05,14857.0,15897.0
228,NEEX,"'Izako Boars', 'ESC'",429,11195,574,1.08,1.05,7174.0,7748.0
229,Aerial,"'HAVU', 'ENCE'",943,25018,1217,1.07,1.05,17385.0,18602.0
230,loWel,"'Movistar Riders', 'PENTA', 'MOUZ'",1008,26413,1739,1.1,1.05,17389.0,19128.0
231,Flarich,"'HellRaisers', 'pro100'",1058,28161,1801,1.1,1.05,18009.0,19810.0
232,raafa,"'W7M', 'Keyd'",640,16832,1092,1.1,1.05,10919.0,12011.0
233,Zellsis,"'Swole Patrol', 'Lazarus'",626,16210,803,1.07,1.05,11471.0,12274.0
234,WolfY,"'ECSTATIC', 'Lyngby Vikings', 'Secret Club'",527,14037,993,1.11,1.05,9027.0,10020.0
235,flusha,'fnatic',1870,49072,2703,1.08,1.05,33787.0,36490.0
236,rommi,"'Spirit Academy', 'HOLLYWOOD', 'PLINK', '1337'",516,13467,604,1.06,1.05,10066.0,10670.0
237,cadiaN,"'Heroic', 'Rogue', 'SK'",1455,38459,2513,1.1,1.05,25129.0,27642.0
238,malta,"'Grayhound', 'Chiefs', 'Renegades'",989,25205,1445,1.09,1.04,16055.0,17500.0
239,refrezh,"'Heroic', 'Fragsters', 'Copenhagen Flames', 'Tricked', 'OpTic'",966,25737,1336,1.08,1.04,16699.0,18035.0
240,MarKE,"'Extra Salt', 'eUnited', 'Swole Patrol'",926,23830,1348,1.09,1.04,14977.0,16325.0
241,Swahn,"'Bad News Bears', 'iNTACT', 'Detonate', 'Bushido Boyz'",374,9836,558,1.09,1.04,6199.0,6757.0
242,Kjaerbye,"'North', 'Dignitas', 'Astralis'",1519,39947,2110,1.08,1.04,26374.0,28484.0
243,FASHR,"'ECSTATIC', 'Lyngby Vikings', 'Defusekids'",696,18433,658,1.05,1.04,13159.0,13817.0
244,kabal,"'5POWER', 'TheMongolz', 'TIGER'",778,20398,1098,1.08,1.04,13724.0,14822.0
245,afro,"'HEET', 'DBL PONEY', 'LDLC'",547,14615,806,1.09,1.04,8955.0,9761.0
246,n0rb3r7,"'K23', 'Winstrike', 'Syman'",1053,28151,845,1.04,1.04,21124.0,21969.0
247,DavCost,"'INDE IRAE', 'Spirit', '1WIN'",1256,33101,1861,1.09,1.04,20677.0,22538.0
248,Bwills,"'Triumph', 'Infamous'",761,19695,920,1.07,1.04,13142.0,14062.0
249,zewsy,"'Tainted Minds', 'Chiefs', 'Winterfox'",618,15666,667,1.06,1.04,11116.0,11783.0
250,STOMP,"'x-kom', 'Izako Boars', 'Illuminar', 'HONORIS'",809,21729,1329,1.1,1.04,13289.0,14618.0
