Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating,Role
hazr,Jared O'Bree,VERTEX,21 years,15826,0.5589999999999999,14484,1.09,80.9,4.4,832,21272,0.74,0.14,0.68,0.11,0.11,1.13,Support
EliGE,Jonathan Jablonowski,Liquid,25 years,33767,0.48700000000000004,30664,1.1,83.3,4.1,1708,44874,0.75,0.15,0.68,0.1,0.12,1.08,Support
pz,Jordan White,VERTEX,23 years,9314,0.293,8161,1.14,76.0,5.6,501,13000,0.72,0.12,0.63,0.09,0.09,1.13,Entry Fragger
gas,Yi Ding,Wings Up,27 years,10462,0.598,9689,1.08,81.5,2.4,518,13599,0.77,0.12,0.71,0.1,0.12,1.11,AWPer
exit,Raphael Lacerda,MIBR,26 years,16097,0.45299999999999996,13620,1.18,75.9,5.2,893,23062,0.7,0.13,0.59,0.09,0.12,1.12,Lurker
Savage,Bin Liu,TCG,33 years,15647,0.37,13721,1.14,78.2,5.5,836,21434,0.73,0.13,0.64,0.09,0.09,1.08,AWPer
lollipop21k,Igor Solodkov,Websterz,26 years,25430,0.489,22967,1.11,81.4,3.7,1272,34113,0.75,0.13,0.67,0.09,0.1,1.13,AWPer
DJOXiC,Đorđe Niciforović,GamerS1337,30 years,9002,0.298,7798,1.15,73.0,2.9,489,12531,0.72,0.1,0.62,0.09,0.1,1.08,Entry Fragger
dennyslaw,Denislav Dimitrov,500,23 years,26203,0.314,22974,1.14,74.4,3.0,1340,36119,0.73,0.1,0.64,0.08,0.1,1.12,AWPer
Detrony,Dimitri Hadjipaschali,,32 years,7633,0.34700000000000003,6771,1.13,77.4,4.4,412,10449,0.73,0.13,0.65,0.1,0.09,1.08,AWPer
faveN,Josef Baumann,BIG,23 years,27730,0.5429999999999999,24584,1.13,78.3,3.3,1412,37730,0.73,0.12,0.65,0.1,0.12,1.13,AWPer
ZOREE,Lasse Uronen,JANO,29 years,33635,0.32899999999999996,29245,1.15,73.6,3.8,1763,46867,0.72,0.1,0.62,0.08,0.1,1.08,AWPer
Machinegun,Enkhtaivan Lkhagva,NKT,32 years,8352,0.503,7676,1.09,81.4,3.2,431,10994,0.76,0.13,0.7,0.08,0.09,1.08,AWPer
Attacker,YuanZhang Sheng,TYLOO,26 years,24761,0.46399999999999997,22069,1.12,79.2,2.3,1294,33272,0.74,0.14,0.66,0.11,0.11,1.08,Support
Spinx,Lotan Giladi,Vitality,22 years,10180,0.555,9040,1.13,77.6,3.4,525,14004,0.73,0.11,0.65,0.08,0.1,1.11,AWPer
valde,Valdemar Bjørn Vangså,ENCE,27 years,25237,0.46799999999999997,22372,1.13,79.6,5.0,1299,34539,0.73,0.14,0.65,0.1,0.1,1.08,Support
keev,Kevin Bartholomäus,,31 years,11408,0.29100000000000004,10191,1.12,73.6,2.8,594,15524,0.73,0.09,0.66,0.08,0.08,1.08,Entry Fragger
sergej,Jere Salo,GORILLAZ,20 years,14855,0.48200000000000004,13039,1.14,79.3,4.0,776,20425,0.73,0.14,0.64,0.1,0.11,1.13,Support
cynic,David Polster,Nouns,23 years,16055,0.401,14207,1.13,80.3,5.7,835,21818,0.74,0.14,0.65,0.1,0.11,1.13,Support
felps,João Vasconcellos,Fluxo,26 years,21900,0.434,20097,1.09,84.6,3.6,1122,28812,0.76,0.16,0.7,0.1,0.09,1.08,Support
k0nfig,Kristian Wienecke,Ninjas in Pyjamas,25 years,32019,0.556,29543,1.08,80.8,2.9,1610,42667,0.75,0.13,0.69,0.09,0.1,1.08,AWPer
mezii,William Merriman,fnatic,24 years,11643,0.5,10272,1.13,79.5,5.4,602,16224,0.72,0.14,0.63,0.09,0.12,1.13,Support
gxx-,Genc Kolgeci,Bad News Eagles,23 years,8816,0.307,7492,1.18,70.3,2.7,468,12517,0.7,0.08,0.6,0.08,0.09,1.09,Entry Fragger
ShahZaM,Shahzeb Khan,,29 years,18509,0.34,16451,1.13,74.8,2.4,966,25252,0.73,0.1,0.65,0.09,0.1,1.08,AWPer
junior,Paytyn Johnson,Complexity,22 years,9370,0.293,7984,1.17,71.2,2.2,508,13273,0.71,0.09,0.6,0.08,0.1,1.1,Entry Fragger
FL1T,Evgenii Lebedev,Outsiders,22 years,25957,0.466,22947,1.13,80.4,4.4,1318,35489,0.73,0.13,0.65,0.09,0.11,1.13,AWPer
Hatz,Jordan Bajic,,24 years,17725,0.509,15679,1.13,77.6,5.1,970,24686,0.72,0.14,0.64,0.1,0.1,1.14,Support
floppy,Ricky Kemery,Complexity,23 years,17576,0.494,15839,1.11,80.2,3.2,919,24129,0.73,0.14,0.66,0.11,0.13,1.14,Support
Farlig,Asger Jensen,Astralis,23 years,14833,0.33399999999999996,13056,1.14,71.4,2.4,775,20762,0.71,0.09,0.63,0.08,0.1,1.09,Entry Fragger
iDISBALANCE,Artem Egorov,K23,26 years,18026,0.26899999999999996,15647,1.15,74.0,2.5,946,25187,0.72,0.1,0.62,0.09,0.09,1.13,Entry Fragger
meyern,Ignacio Meyer,BESTIA,20 years,9783,0.541,8856,1.1,76.6,3.6,516,13481,0.73,0.11,0.66,0.1,0.13,1.11,AWPer
Magisk,Emil Reif,Vitality,24 years,28260,0.475,24969,1.13,79.5,5.9,1497,39488,0.72,0.15,0.63,0.09,0.09,1.08,Support
fejtZ,Kristjan Allsaar,sYnck ,25 years,16980,0.451,15271,1.11,76.8,3.6,870,23016,0.74,0.12,0.66,0.1,0.12,1.08,AWPer
Liazz,Jay Tregillgas,Grayhound,25 years,18811,0.45899999999999996,16501,1.14,78.3,4.6,1040,26767,0.7,0.15,0.62,0.1,0.11,1.08,Support
dupreeh,Peter Rasmussen,Vitality,29 years,38637,0.503,34343,1.13,76.6,3.3,2036,53134,0.73,0.14,0.65,0.09,0.09,1.08,Support
jayzaR,Aleksandar Zarkovic,,25 years,10481,0.364,9546,1.1,78.8,3.5,531,14033,0.75,0.12,0.68,0.09,0.1,1.08,AWPer
Rickeh,Ricardo Mulholland,,31 years,17834,0.377,15446,1.15,77.3,5.2,962,25181,0.71,0.13,0.61,0.08,0.09,1.07,AWPer
broky,Helvijs Saukants,FaZe,22 years,14766,0.376,12795,1.15,73.1,3.5,786,20996,0.7,0.1,0.61,0.1,0.11,1.1,AWPer
Summer,YuLun Cai,TYLOO,25 years,24529,0.49,21747,1.13,79.5,5.6,1311,33781,0.73,0.14,0.64,0.09,0.09,1.07,Support
MICHU,Michał Müller,,26 years,34982,0.508,31881,1.1,79.9,4.0,1791,47050,0.74,0.13,0.68,0.09,0.1,1.07,AWPer
Ryxxo,Thomas Nielsen,CEPTER,26 years,16547,0.332,14592,1.13,76.0,6.4,880,23128,0.72,0.12,0.63,0.09,0.1,1.07,AWPer
