,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
41,Jamppi,"['SJ', 'ENCE']",503,13449,+1408,1.16,1.12,"<div class=""summaryPlayerAge"">21 years</div>",10302,31.8%,8894,1.16,78.2,2.8,503,13449,0.77,0.10,0.66,0.08,0.09,0.66,69.8%,1.28,78.2,0.77,1.15
42,ropz,"['FaZe', 'MOUZ']",1220,32318,+4027,1.20,1.12,"<div class=""summaryPlayerAge"">23 years</div>",23861,51.7%,19834,1.20,78.4,2.5,1220,32318,0.74,0.11,0.61,0.07,0.09,0.61,72.5%,1.09,78.4,0.74,1.14
43,wrath,"['New Identity', 'Secret Club', 'BlackOut']",525,13568,+1239,1.13,1.12,"<div class=""summaryPlayerAge"">21 years</div>",10634,50.1%,9395,1.13,83.9,3.5,525,13568,0.78,0.14,0.69,0.11,0.14,0.69,72.2%,1.21,83.9,0.78,1.12
44,dgt,['9z'],504,13344,+1750,1.22,1.11,"<div class=""summaryPlayerAge"">21 years</div>",9847,49.6%,8097,1.22,78.0,3.7,504,13344,0.74,0.12,0.61,0.09,0.12,0.61,73.9%,1.07,78.0,0.74,1.15
45,SunPayus,"['ENCE', 'Movistar Riders']",411,11018,+1466,1.23,1.11,"<div class=""summaryPlayerAge"">24 years</div>",7965,29.6%,6499,1.23,74.2,3.5,411,11018,0.72,0.10,0.59,0.08,0.10,0.59,72.8%,1.15,74.2,0.72,1.16
46,chelleos,"['Rooster', 'madlikewizards', 'Paradox']",601,15529,+1477,1.14,1.11,"<div class=""summaryPlayerAge"">22 years</div>",12005,31.9%,10528,1.14,83.5,4.1,601,15529,0.77,0.13,0.68,0.10,0.09,0.68,69.5%,1.38,83.5,0.77,1.19
47,h4rn,"['FATE', 'Fiend', 'Enterprise']",691,18526,+2418,1.22,1.11,"<div class=""summaryPlayerAge"">22 years</div>",13512,28.6%,11094,1.22,74.7,3.4,691,18526,0.73,0.10,0.60,0.09,0.09,0.60,72.6%,1.14,74.7,0.73,1.15
48,nawwk,"['Apeks', 'GamerLegion', 'Ninjas in Pyjamas', 'x6tence Galaxy']",1004,26876,+3503,1.21,1.11,"<div class=""summaryPlayerAge"">25 years</div>",19812,35.2%,16309,1.21,73.3,2.8,1004,26876,0.74,0.09,0.61,0.09,0.11,0.61,72.2%,1.09,73.3,0.74,1.13
49,PTC,"['Lucid Dream', '5POWER']",476,12393,+1408,1.18,1.11,"<div class=""summaryPlayerAge"">24 years</div>",9304,36.1%,7896,1.18,76.9,2.0,476,12393,0.75,0.10,0.64,0.08,0.09,0.64,71.2%,1.19,76.9,0.75,1.14
50,splashske,"['BOOT-d[S]', 'HZ', 'BOOT', 'dream[S]cape']",722,18651,+1811,1.15,1.11,"<div class=""summaryPlayerAge"">23 years</div>",14145,38.4%,12334,1.15,78.5,3.5,722,18651,0.76,0.11,0.66,0.09,0.09,0.66,70.2%,1.25,78.5,0.76,1.11
51,zorte,"['forZe', 'Unique']",894,23988,+3033,1.21,1.11,"<div class=""summaryPlayerAge"">24 years</div>",17402,36.1%,14369,1.21,73.7,2.7,894,23988,0.73,0.09,0.60,0.09,0.11,0.60,72.7%,1.14,73.7,0.73,1.15
52,Twistzz,"['FaZe', 'Liquid']",1466,38566,+4206,1.18,1.11,"<div class=""summaryPlayerAge"">23 years</div>",28178,62.0%,23972,1.18,76.9,3.5,1466,38566,0.73,0.12,0.62,0.10,0.12,0.62,73.7%,1.08,76.9,0.73,1.11
53,erkaSt,"['NKT', 'Grayhound', 'TIGER', 'Immunity']",929,24153,+2445,1.15,1.11,"<div class=""summaryPlayerAge"">27 years</div>",18436,50.0%,15991,1.15,82.6,5.2,929,24153,0.76,0.14,0.66,0.09,0.09,0.66,71.9%,1.19,82.6,0.76,1.16
54,dream3r,"['E-frag.net', 'Fiend', 'SKADE']",1361,35721,+4371,1.20,1.11,"<div class=""summaryPlayerAge"">26 years</div>",26284,49.5%,21913,1.20,76.5,3.1,1361,35721,0.74,0.12,0.61,0.08,0.11,0.61,73.2%,1.04,76.5,0.74,1.11
55,GuardiaN,"['Natus Vincere', 'FaZe']",1590,41693,+4763,1.18,1.11,"<div class=""summaryPlayerAge"">31 years</div>",30757,29.6%,25994,1.18,71.8,2.8,1590,41693,0.74,0.11,0.62,0.08,0.09,0.62,69.7%,1.09,71.8,0.74,1.11
56,vsm,"['Fluxo', 'DETONA', '00NATION']",659,17435,+1694,1.15,1.11,"<div class=""summaryPlayerAge"">23 years</div>",13138,47.8%,11444,1.15,82.2,3.3,659,17435,0.75,0.13,0.66,0.09,0.09,0.66,71.5%,1.21,82.2,0.75,1.16
57,xsepower,"['forZe', 'K23']",1337,35899,+4793,1.23,1.11,"<div class=""summaryPlayerAge"">24 years</div>",25734,24.9%,20941,1.23,72.3,2.2,1337,35899,0.72,0.08,0.58,0.07,0.08,0.58,71.1%,1.19,72.3,0.72,1.15
58,CacaNito,['BLUEJAYS'],396,10627,+851,1.12,1.11,"<div class=""summaryPlayerAge"">22 years</div>",8167,46.3%,7316,1.12,86.1,5.0,396,10627,0.77,0.15,0.69,0.09,0.11,0.69,69.4%,1.26,86.1,0.77,1.16
59,ottoNd,"['HAVU', 'Valiance', 'CR4ZY', 'c0ntact']",904,23909,+2747,1.18,1.11,"<div class=""summaryPlayerAge"">25 years</div>",17661,27.0%,14914,1.18,75.9,3.3,904,23909,0.74,0.10,0.62,0.09,0.11,0.62,71.5%,1.17,75.9,0.74,1.15
60,FREDDyFROG,"['Chaos', 'Red Reserve', 'Apeks', 'Japaleno', 'Galaxy Racer']",1208,32176,+3606,1.18,1.11,"<div class=""summaryPlayerAge"">29 years</div>",23752,40.3%,20146,1.18,80.4,3.9,1208,32176,0.74,0.14,0.63,0.09,0.11,0.63,73.4%,1.13,80.4,0.74,1.11
61,TenZ,"['Bad News Bears', 'ATK']",401,10399,+839,1.12,1.10,"<div class=""summaryPlayerAge"">21 years</div>",7931,51.3%,7092,1.12,82.4,3.2,401,10399,0.76,0.14,0.68,0.10,0.12,0.68,71.5%,1.21,82.4,0.76,1.15
62,Vexite,"['Grayhound', 'ORDER', 'Chiefs']",411,10477,+854,1.12,1.10,"<div class=""summaryPlayerAge"">18 years</div>",8004,57.1%,7150,1.12,83.2,5.0,411,10477,0.76,0.14,0.68,0.10,0.11,0.68,71.7%,1.23,83.2,0.76,1.16
63,f0rest,"['Ninjas in Pyjamas', 'Dignitas']",2102,54673,+5675,1.16,1.10,"<div class=""summaryPlayerAge"">34 years</div>",41243,51.9%,35568,1.16,76.3,3.7,2102,54673,0.75,0.12,0.65,0.09,0.10,0.65,70.5%,1.07,76.3,0.75,1.10
64,Olivia,"['Beyond', 'Alpha Red', 'Signature']",634,16189,+1565,1.15,1.10,"<div class=""summaryPlayerAge"">25 years</div>",12279,37.0%,10714,1.15,78.5,2.4,634,16189,0.76,0.11,0.66,0.08,0.09,0.66,70.6%,1.19,78.5,0.76,1.13
65,dumau,"['00NATION', 'GODSENT', 'Yeah']",541,14372,+1623,1.18,1.10,"<div class=""summaryPlayerAge"">19 years</div>",10647,41.5%,9024,1.18,80.7,4.7,541,14372,0.74,0.14,0.63,0.08,0.11,0.63,72.7%,1.14,80.7,0.74,1.16
66,poizon,"['Complexity', 'Windigo', 'Bpro']",1108,29354,+2862,1.15,1.10,"<div class=""summaryPlayerAge"">24 years</div>",21623,33.6%,18761,1.15,78.0,3.8,1108,29354,0.74,0.12,0.64,0.09,0.10,0.64,70.6%,1.20,78.0,0.74,1.14
67,mir,"['Spirit', 'Vega Squadron', 'Gambit']",1066,28082,+2792,1.15,1.10,"<div class=""summaryPlayerAge"">27 years</div>",21326,52.0%,18534,1.15,81.5,4.9,1066,28082,0.76,0.13,0.66,0.10,0.11,0.66,71.7%,1.19,81.5,0.76,1.10
68,mertz,"['North Academy', 'Heroic', 'North', 'Nordavind', 'Singularity']",957,25381,+2587,1.16,1.10,"<div class=""summaryPlayerAge"">24 years</div>",19106,32.4%,16519,1.16,77.4,2.4,957,25381,0.75,0.10,0.65,0.10,0.10,0.65,70.4%,1.22,77.4,0.75,1.10
69,HEN1,"['MIBR', 'Immortals', 'FURIA', 'Luminosity']",1257,32662,+4231,1.23,1.10,"<div class=""summaryPlayerAge"">27 years</div>",23007,29.2%,18776,1.23,74.9,4.1,1257,32662,0.70,0.12,0.57,0.08,0.09,0.57,73.5%,1.09,74.9,0.70,1.10
70,WARDELL,"['Ghost', ""Bee's Money Crew"", 'Orgless']",609,15901,+1648,1.17,1.10,"<div class=""summaryPlayerAge"">24 years</div>",11627,27.2%,9979,1.17,74.2,2.1,609,15901,0.73,0.10,0.63,0.09,0.10,0.63,70.9%,1.19,74.2,0.73,1.13
71,CeRq,"['NRG', 'Evil Geniuses', 'Outlaws']",1234,32056,+3437,1.17,1.10,"<div class=""summaryPlayerAge"">23 years</div>",23391,27.9%,19954,1.17,73.9,2.4,1234,32056,0.73,0.10,0.62,0.10,0.11,0.62,72.1%,1.16,73.9,0.73,1.14
72,oSee,"['Liquid', 'Extra Salt', 'Singularity', 'Cloud9']",1197,31238,+3497,1.18,1.10,"<div class=""summaryPlayerAge"">23 years</div>",22947,31.4%,19450,1.18,75.6,2.8,1197,31238,0.73,0.11,0.62,0.11,0.12,0.62,72.9%,1.12,75.6,0.73,1.14
73,swag,"['Swole Patrol', 'Torqued', 'iBUYPOWER', 'Lazarus']",556,14447,+1629,1.18,1.10,"<div class=""summaryPlayerAge"">26 years</div>",10527,49.5%,8898,1.18,77.6,4.7,556,14447,0.73,0.14,0.62,0.08,0.09,0.62,72.9%,1.09,77.6,0.73,1.10
74,Brehze,"['Evil Geniuses', 'NRG']",1234,32170,+2768,1.13,1.10,"<div class=""summaryPlayerAge"">24 years</div>",24331,52.7%,21563,1.13,80.1,2.5,1234,32170,0.76,0.12,0.67,0.10,0.12,0.67,71.7%,1.14,80.1,0.76,1.10
75,hades,"['ENCE', 'Wisla Krakow']",742,20079,+2298,1.18,1.10,"<div class=""summaryPlayerAge"">23 years</div>",14722,29.8%,12424,1.18,74.0,2.3,742,20079,0.73,0.09,0.62,0.07,0.08,0.62,71.1%,1.11,74.0,0.73,1.12
76,ekul,"['Paradox', 'SYF']",452,11703,+986,1.12,1.10,"<div class=""summaryPlayerAge"">27 years</div>",8895,36.6%,7909,1.12,80.0,2.9,452,11703,0.76,0.11,0.68,0.08,0.09,0.68,68.6%,1.28,80.0,0.76,1.14
77,Ax1Le,"['Gambit Youngsters', 'Gambit']",1006,26716,+2708,1.16,1.10,"<div class=""summaryPlayerAge"">20 years</div>",19463,48.6%,16755,1.16,80.5,5.2,1006,26716,0.73,0.14,0.63,0.09,0.09,0.63,72.5%,1.15,80.5,0.73,1.16
78,nython,"['Paquetá', 'RED Canids', 'paiN']",556,14824,+1516,1.16,1.10,"<div class=""summaryPlayerAge"">25 years</div>",11088,37.3%,9572,1.16,76.4,2.3,556,14824,0.75,0.10,0.65,0.09,0.10,0.65,71.6%,1.16,76.4,0.75,1.14
79,allu,"['ENCE', 'Ninjas in Pyjamas', 'FaZe']",1721,45168,+4648,1.16,1.10,"<div class=""summaryPlayerAge"">30 years</div>",33531,28.7%,28883,1.16,75.2,3.7,1721,45168,0.74,0.11,0.64,0.07,0.09,0.64,70.0%,1.13,75.2,0.74,1.10
80,moose,"['eUnited', 'Rise Nation']",752,19559,+1975,1.16,1.10,"<div class=""summaryPlayerAge"">24 years</div>",14503,44.1%,12528,1.16,79.2,2.0,752,19559,0.74,0.12,0.64,0.08,0.09,0.64,71.5%,1.12,79.2,0.74,1.14
81,PwnAlone,"['Party Astronauts', 'New England Whalers']",976,25381,+2486,1.16,1.10,"<div class=""summaryPlayerAge"">32 years</div>",18496,31.5%,16010,1.16,76.2,3.5,976,25381,0.73,0.12,0.63,0.10,0.10,0.63,72.0%,1.17,76.2,0.73,1.14
82,Infinite,['Party Astronauts'],901,23490,+1998,1.13,1.09,"<div class=""summaryPlayerAge"">24 years</div>",17399,51.1%,15401,1.13,80.9,5.0,901,23490,0.74,0.14,0.66,0.10,0.11,0.66,72.3%,1.17,80.9,0.74,1.15
83,xccurate,"['TYLOO', 'Recca', 'BTRG', 'NKT']",698,18113,+1724,1.15,1.09,"<div class=""summaryPlayerAge"">25 years</div>",13334,31.2%,11610,1.15,74.2,1.9,698,18113,0.74,0.10,0.64,0.10,0.10,0.64,71.1%,1.14,74.2,0.74,1.09
84,mixwell,"['OpTic', 'Movistar Riders']",840,21804,+1911,1.13,1.09,"<div class=""summaryPlayerAge"">27 years</div>",16275,38.1%,14364,1.13,79.5,5.7,840,21804,0.75,0.13,0.66,0.10,0.10,0.66,71.2%,1.22,79.5,0.75,1.09
85,Sonic,"['Bravado', 'Extra Salt', 'Cloud9']",963,24799,+2362,1.15,1.09,"<div class=""summaryPlayerAge"">24 years</div>",18216,46.4%,15854,1.15,78.7,4.3,963,24799,0.73,0.13,0.64,0.11,0.11,0.64,72.5%,1.15,78.7,0.73,1.09
86,aliStair,"['ORDER', 'Chiefs', 'Renegades']",1125,28555,+2924,1.16,1.09,"<div class=""summaryPlayerAge"">24 years</div>",20680,34.7%,17756,1.16,75.4,3.3,1125,28555,0.72,0.12,0.62,0.09,0.08,0.62,71.3%,1.20,75.4,0.72,1.14
87,syrsoN,"['ALTERNATE aTTaX', 'BIG', 'Sprout']",1800,47847,+4827,1.16,1.09,"<div class=""summaryPlayerAge"">26 years</div>",34921,29.4%,30094,1.16,74.2,2.5,1800,47847,0.73,0.09,0.63,0.08,0.09,0.63,70.1%,1.20,74.2,0.73,1.09
88,JUGi,"['Heroic', 'OpTic', 'Tricked', 'North']",940,24427,+2676,1.18,1.09,"<div class=""summaryPlayerAge"">25 years</div>",17527,27.8%,14851,1.18,74.1,2.4,940,24427,0.72,0.10,0.61,0.08,0.10,0.61,72.0%,1.13,74.1,0.72,1.09
89,GeT_RiGhT,['Ninjas in Pyjamas'],1747,45082,+4284,1.15,1.09,"<div class=""summaryPlayerAge"">32 years</div>",33295,49.3%,29011,1.15,76.5,4.4,1747,45082,0.74,0.15,0.64,0.09,0.08,0.64,68.8%,1.03,76.5,0.74,1.09
90,Cooper,"['Mythic', 'Swole Patrol', 'eUnited', 'Triumph']",845,21980,+2129,1.15,1.09,"<div class=""summaryPlayerAge"">28 years</div>",16190,32.8%,14061,1.15,74.2,2.3,845,21980,0.74,0.09,0.64,0.09,0.10,0.64,70.9%,1.14,74.2,0.74,1.12
91,ryx,"['Echo Fox', 'Splyce', 'Ghost', 'Dignitas', 'Tempo Storm', 'Conquest']",491,12856,+1181,1.14,1.09,"<div class=""summaryPlayerAge"">29 years</div>",9797,36.3%,8616,1.14,83.7,3.6,491,12856,0.76,0.16,0.67,0.09,0.12,0.67,72.7%,1.11,83.7,0.76,1.09
92,Calyx,"['Eternal Fire', 'Space Soldiers', 'DarkPassage']",1177,30919,+2983,1.15,1.09,"<div class=""summaryPlayerAge"">24 years</div>",22442,57.0%,19459,1.15,77.1,3.7,1177,30919,0.73,0.12,0.63,0.09,0.10,0.63,72.7%,1.07,77.1,0.73,1.09
93,zehN,"['HAVU', 'GODSENT', 'PENTA', 'FunPlus Phoenix']",1183,31410,+2619,1.13,1.09,"<div class=""summaryPlayerAge"">31 years</div>",22941,45.5%,20322,1.13,80.4,8.0,1183,31410,0.73,0.15,0.65,0.08,0.09,0.65,71.6%,1.10,80.4,0.73,1.09
