,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
142,dupreeh,"['Astralis', 'TSM']",2036,53134,+4294,1.13,1.08,29 years,38637,50.3%,34343,1.13,76.6,3.3,2036,53134,0.73,0.14,0.65,0.09,0.09,0.65,71.6%,1.12,76.6,0.73,1.08
143,Rickeh,"['ORDER', 'CLG', 'Rogue']",962,25181,+2388,1.15,1.07,31 years,17834,37.7%,15446,1.15,77.3,5.2,962,25181,0.71,0.13,0.61,0.08,0.09,0.61,72.7%,1.14,77.3,0.71,1.07
144,fejtZ,['SMASH'],872,23064,+1703,1.11,1.07,25 years,17008,45.1%,15305,1.11,76.7,3.5,872,23064,0.74,0.12,0.66,0.10,0.13,0.66,72.0%,1.09,76.7,0.74,1.07
145,broky,"['FaZe', 'Epsilon']",786,20996,+1971,1.15,1.07,22 years,14766,37.6%,12795,1.15,73.1,3.5,786,20996,0.70,0.10,0.61,0.10,0.11,0.61,72.7%,1.01,73.1,0.70,1.10
146,jayzaR,"['Valiance', 'Enyoy']",535,14134,+932,1.10,1.07,25 years,10554,36.5%,9622,1.10,78.8,3.5,535,14134,0.75,0.12,0.68,0.09,0.10,0.68,69.9%,1.21,78.8,0.75,1.07
147,MICHU,"['Virtus.pro', 'Kinguin', 'CSGL']",1791,47050,+3101,1.10,1.07,26 years,34982,50.8%,31881,1.10,79.9,4.0,1791,47050,0.74,0.13,0.68,0.09,0.10,0.68,70.5%,1.15,79.9,0.74,1.07
148,Summer,"['TYLOO', 'Flash']",1321,34055,+2798,1.13,1.07,25 years,24710,49.0%,21912,1.13,79.5,5.6,1321,34055,0.73,0.14,0.64,0.09,0.09,0.64,72.8%,1.09,79.5,0.73,1.07
149,ptr,"['Bad News Bears', 'NRG', 'Complexity']",1136,29729,+2699,1.15,1.07,32 years,20971,26.0%,18272,1.15,73.3,3.4,1136,29729,0.71,0.11,0.61,0.09,0.10,0.61,71.4%,1.11,73.3,0.71,1.07
150,Ryxxo,"['Tricked', 'Singularity']",884,23238,+1956,1.13,1.07,26 years,16612,33.2%,14656,1.13,75.9,6.4,884,23238,0.71,0.12,0.63,0.09,0.10,0.63,71.4%,1.11,75.9,0.71,1.07
151,dapr,['eUnited'],594,15426,+1002,1.10,1.07,24 years,11313,44.1%,10311,1.10,80.8,6.4,594,15426,0.73,0.15,0.67,0.10,0.11,0.67,71.3%,1.16,80.8,0.73,1.13
152,jL,"['Apeks', 'MAD Lions', 'ex-MAD Lions']",473,12689,+860,1.10,1.07,23 years,9293,48.4%,8433,1.10,78.2,4.2,473,12689,0.73,0.13,0.66,0.09,0.10,0.66,70.9%,1.14,78.2,0.73,1.11
153,NaToSaphiX,"['Sprout', 'Nordavind']",995,26543,+2524,1.16,1.07,26 years,18637,36.9%,16113,1.16,71.8,3.3,995,26543,0.70,0.10,0.61,0.09,0.10,0.61,72.5%,1.06,71.8,0.70,1.07
154,Impulse,"['Valiance', 'ONYX', 'lvlUP', 'RESISTANCE']",781,20768,+1589,1.12,1.07,26 years,14902,35.3%,13313,1.12,75.5,3.6,781,20768,0.72,0.11,0.64,0.10,0.11,0.64,71.1%,1.11,75.5,0.72,1.11
155,dexter,"['MOUZ', 'Grayhound', 'Renegades']",1070,27582,+1800,1.10,1.07,28 years,20198,48.6%,18398,1.10,80.3,5.2,1070,27582,0.73,0.14,0.67,0.09,0.09,0.67,71.0%,1.17,80.3,0.73,1.07
156,nicoodoz,"['fnatic', 'Copenhagen Flames']",818,21898,+2008,1.15,1.07,22 years,15466,31.7%,13466,1.15,71.5,3.4,819,21934,0.71,0.08,0.61,0.08,0.10,0.61,70.9%,1.06,71.5,0.71,1.09
157,xand,"['INTZ', 'Yeah']",515,13210,+875,1.10,1.07,27 years,9681,50.2%,8806,1.10,80.4,4.7,515,13210,0.73,0.14,0.67,0.10,0.10,0.67,71.7%,1.12,80.4,0.73,1.07
158,InfrequeNt,"['Athletico', 'Tainted Minds', 'Chiefs']",480,12386,+931,1.12,1.07,28 years,8969,33.7%,8038,1.12,76.3,4.2,480,12386,0.72,0.12,0.65,0.09,0.10,0.65,70.2%,1.18,76.3,0.72,1.07
159,EspiranTo,"['Imperial', 'Valiance', 'CR4ZY', 'c0ntact']",881,23045,+1349,1.09,1.07,21 years,17165,60.0%,15815,1.09,77.5,3.2,880,23040,0.75,0.11,0.69,0.10,0.10,0.69,70.3%,1.16,77.5,0.75,1.11
160,anarkez,"['Finest', 'Secret']",800,21555,+1579,1.11,1.07,23 years,15522,30.7%,13943,1.11,73.1,2.3,800,21555,0.72,0.09,0.65,0.09,0.08,0.65,69.5%,1.16,73.1,0.72,1.10
161,YEKINDAR,"['pro100', 'Virtus.pro', 'EPG']",1199,31969,+1515,1.07,1.07,23 years,23819,59.1%,22304,1.07,82.7,4.0,1199,31969,0.75,0.13,0.70,0.09,0.09,0.70,68.7%,1.29,82.7,0.75,1.14
162,jks,"['Renegades', 'Complexity', '100 Thieves']",1264,33007,+2467,1.12,1.07,27 years,23179,53.0%,20712,1.12,77.3,5.3,1264,33007,0.70,0.13,0.63,0.09,0.11,0.63,72.2%,1.05,77.3,0.70,1.07
163,hAdji,"['LDLC', 'EnVyUs Academy', 'Falcons']",1247,33007,+2344,1.11,1.07,27 years,24076,49.1%,21732,1.11,79.5,4.1,1247,33007,0.73,0.13,0.66,0.10,0.12,0.66,72.3%,1.09,79.5,0.73,1.07
164,CRUC1AL,"['Endpoint', 'Epsilon']",1548,40697,+2995,1.11,1.07,26 years,29277,29.0%,26282,1.11,73.5,2.6,1548,40697,0.72,0.10,0.65,0.09,0.11,0.65,70.1%,1.15,73.5,0.72,1.07
165,reiko,['HONORIS'],519,13954,+532,1.05,1.07,23 years,10547,47.7%,10015,1.05,83.8,5.1,519,13954,0.76,0.14,0.72,0.11,0.13,0.72,70.1%,1.21,83.8,0.76,1.12
166,autimatic,"['Cloud9', 'Gen.G']",1241,32430,+2261,1.10,1.07,26 years,23984,44.6%,21723,1.10,79.3,4.0,1241,32430,0.74,0.13,0.67,0.10,0.10,0.67,71.3%,1.12,79.3,0.74,1.07
167,shox,"['G2', 'Vitality']",2053,53896,+3736,1.11,1.07,30 years,39295,48.8%,35559,1.11,75.3,3.0,2053,53896,0.73,0.12,0.66,0.08,0.08,0.66,69.4%,1.08,75.3,0.73,1.07
168,hallzerk,"['Complexity', 'Dignitas', 'Nordavind']",852,23055,+1575,1.11,1.07,22 years,16549,34.3%,14974,1.11,73.4,3.2,852,23055,0.72,0.09,0.65,0.10,0.10,0.65,70.0%,1.13,73.4,0.72,1.10
169,QKA,"['5POWER', 'UYA', 'BOOT']",402,10409,+702,1.10,1.07,29 years,7690,40.4%,6988,1.10,75.8,1.6,402,10409,0.74,0.10,0.67,0.08,0.09,0.67,69.5%,1.16,75.8,0.74,1.10
170,FalleN,"['SK', 'MIBR', 'Luminosity']",1637,42954,+3920,1.15,1.07,31 years,29786,30.8%,25866,1.15,71.8,3.5,1637,42954,0.69,0.11,0.60,0.09,0.08,0.60,71.8%,1.08,71.8,0.69,1.07
171,somebody,['TYLOO'],1259,32599,+2152,1.10,1.07,27 years,23831,45.8%,21679,1.10,79.9,3.5,1259,32599,0.73,0.13,0.67,0.10,0.09,0.67,71.6%,1.16,79.9,0.73,1.07
172,chelo,"['INTZ', 'MIBR', 'Luminosity']",968,25190,+1564,1.09,1.07,24 years,18074,60.5%,16510,1.09,78.1,3.6,968,25190,0.72,0.13,0.66,0.10,0.10,0.66,71.9%,1.16,78.1,0.72,1.07
173,NikoM,"['TeamOne', 'Isurus']",537,13864,+966,1.11,1.07,25 years,10105,47.1%,9139,1.11,79.9,4.7,537,13864,0.73,0.14,0.66,0.10,0.11,0.66,72.1%,1.08,79.9,0.73,1.07
174,WorldEdit,"['FlipSid3', 'pro100', 'Winstrike']",1330,34767,+2453,1.11,1.07,31 years,25244,28.1%,22791,1.11,75.0,2.6,1330,34767,0.73,0.12,0.66,0.08,0.08,0.66,69.0%,1.15,75.0,0.73,1.07
175,Lucaozy,"['Fluxo', 'Sharks', 'DETONA', 'Reapers']",531,14316,+1127,1.12,1.07,21 years,10284,50.9%,9157,1.12,76.6,3.2,531,14316,0.72,0.11,0.64,0.09,0.10,0.64,71.8%,1.09,76.6,0.72,1.11
176,shroud,['Cloud9'],676,17460,+1311,1.12,1.07,28 years,12588,52.9%,11277,1.12,76.1,3.9,676,17460,0.72,0.14,0.65,0.09,0.11,0.65,71.5%,1.04,76.1,0.72,1.07
177,Pimp,"['Dignitas', 'SK', 'Liquid', 'CPH Wolves']",976,25052,+2016,1.13,1.07,27 years,18116,46.6%,16100,1.13,78.3,3.9,976,25052,0.72,0.14,0.64,0.10,0.11,0.64,70.8%,1.05,78.3,0.72,1.07
178,fame,"['Outsiders', 'K23', 'SG.pro']",591,15744,+1059,1.10,1.07,19 years,11386,57.4%,10327,1.10,77.4,3.5,591,15744,0.72,0.11,0.66,0.08,0.11,0.66,70.8%,1.14,77.4,0.72,1.11
179,shalfey,"['FORZE', 'Unique']",550,14878,+1277,1.14,1.07,20 years,10617,46.3%,9340,1.14,77.8,3.8,550,14878,0.71,0.12,0.63,0.08,0.09,0.63,71.5%,1.10,77.8,0.71,1.12
180,dycha,"['ENCE', 'Sprout', 'Aristocracy']",896,24042,+1376,1.09,1.06,25 years,17457,53.2%,16081,1.09,81.1,4.9,896,24042,0.73,0.14,0.67,0.09,0.09,0.67,70.6%,1.15,81.1,0.73,1.12
181,DD,"['TYLOO', 'OneThree']",917,23728,+1523,1.10,1.06,28 years,17450,41.9%,15927,1.10,81.5,3.1,917,23728,0.74,0.16,0.67,0.11,0.10,0.67,72.7%,1.13,81.5,0.74,1.06
182,snatchie,"['AGO', 'Virtus.pro', 'Sprout']",1633,43767,+2599,1.09,1.06,25 years,31662,29.4%,29063,1.09,72.7,1.6,1633,43767,0.72,0.09,0.66,0.08,0.09,0.66,68.7%,1.15,72.7,0.72,1.06
183,acoR,"['Tricked', 'North Academy', 'MAD Lions', 'MOUZ']",1153,30226,+2279,1.12,1.06,25 years,21343,37.5%,19064,1.12,73.2,3.8,1153,30226,0.71,0.10,0.63,0.09,0.09,0.63,69.9%,1.10,73.2,0.71,1.06
184,HObbit,"['Gambit', 'Winstrike']",1237,32661,+2279,1.11,1.06,28 years,23611,46.5%,21332,1.11,80.1,5.6,1237,32661,0.72,0.14,0.65,0.08,0.08,0.65,71.4%,1.13,80.1,0.72,1.06
185,CLASIA,"['RBG', 'Secret Club', 'Carpe Diem', 'ChocoCheck']",404,10557,+687,1.10,1.06,19 years,7669,49.9%,6982,1.10,79.8,4.8,404,10557,0.73,0.14,0.66,0.09,0.10,0.66,71.8%,1.10,79.8,0.73,1.12
