,Name,Teams,Maps,Rounds,K-D Diff,K/D,Rating (1.0),Age,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,DPR,KAST,Impact,ADR,KPR,Rating
217,suNny,"['ENCE', 'MOUZ', 'PENTA']",1353,35708,+1623,1.07,1.05,28 years,26260,47.4%,24637,1.07,80.6,5.0,1353,35708,0.74,0.14,0.69,0.09,0.09,0.69,69.9%,1.13,80.6,0.74,1.05
218,KEi,"['9INE', 'AVEZ', 'Anonymo']",804,21661,+874,1.06,1.05,21 years,16042,45.2%,15168,1.06,83.0,4.6,804,21661,0.74,0.15,0.70,0.09,0.09,0.70,69.7%,1.22,83.0,0.74,1.12
219,remix,"['ODDIK', 'Liberty', 'Redemption POA', 'UNO MILLE']",491,13132,+786,1.09,1.05,29 years,9304,27.5%,8518,1.09,71.5,2.1,491,13132,0.71,0.09,0.65,0.09,0.09,0.65,69.9%,1.09,71.5,0.71,1.08
220,flying,['Invictus'],429,11438,+534,1.07,1.05,22 years,8377,50.7%,7843,1.07,78.8,3.7,429,11438,0.73,0.12,0.69,0.09,0.10,0.69,70.7%,1.07,78.8,0.73,1.09
221,SLOWLY,"['TYLOO', 'EHOME']",569,15083,+672,1.07,1.05,21 years,10944,59.0%,10272,1.07,79.0,2.9,569,15083,0.73,0.13,0.68,0.10,0.10,0.68,71.5%,1.15,79.0,0.73,1.11
222,olofmeister,"['fnatic', 'FaZe']",1569,41008,+2662,1.10,1.05,31 years,29175,46.7%,26512,1.10,72.8,4.4,1568,40998,0.71,0.13,0.65,0.09,0.08,0.65,69.3%,1.01,72.8,0.71,1.05
223,rallen,"['Kinguin', 'AGO']",1842,49302,+3204,1.10,1.05,28 years,35556,43.4%,32352,1.10,82.1,7.5,1842,49302,0.72,0.16,0.66,0.09,0.09,0.66,71.4%,1.12,82.1,0.72,1.05
224,Krimbo,"['BIG', 'BIG Academy', 'ALTERNATE aTTaX', 'cowana']",467,12514,+832,1.11,1.05,20 years,8716,51.0%,7884,1.11,76.1,7.1,467,12514,0.70,0.12,0.63,0.08,0.10,0.63,71.6%,1.03,76.1,0.70,1.09
225,flameZ,"['OG', 'Endpoint']",477,12794,+590,1.07,1.05,19 years,9138,52.8%,8548,1.07,79.3,6.0,477,12794,0.71,0.14,0.67,0.11,0.11,0.67,71.8%,1.16,79.3,0.71,1.12
226,bottle,"['Born Of Fire', 'Eclipse', 'Invictus', '5POWER', 'CyberZen']",768,19801,+871,1.06,1.05,29 years,14489,56.8%,13618,1.06,79.5,3.6,768,19801,0.73,0.14,0.69,0.10,0.10,0.69,71.1%,1.11,79.5,0.73,1.05
227,Gratisfaction,"['Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM']",925,24079,+1675,1.11,1.05,26 years,16702,32.5%,15027,1.11,73.4,3.4,925,24079,0.69,0.12,0.62,0.10,0.10,0.62,70.7%,1.14,73.4,0.69,1.05
228,ISSAA,"['HellRaisers', 'OG']",870,22834,+1402,1.09,1.05,26 years,16229,55.5%,14827,1.09,75.7,3.6,870,22834,0.71,0.12,0.65,0.10,0.11,0.65,72.1%,1.06,75.7,0.71,1.05
