Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
Ex6TenZ,"'Titan', 'LDLC', 'VeryGames', 'G2'",1393,36352,-1064,0.96,0.94
ub1que,"'EPG', 'PiTER', 'Preparation'",491,12691,-496,0.94,0.94
Noisia,"'AVANT', 'Breakaway', 'Dark Sided'",579,15033,-616,0.94,0.94
tutehen,"'VELOX', 'Isurus', 'Gale Force', 'Miami Flamingos'",447,11563,-394,0.95,0.94
ngiN,"'Space Soldiers', 'Sangal'",1025,26895,-748,0.96,0.94
forget,"'5POWER', 'UYA'",442,11512,-734,0.91,0.94
Shakezullah,"'Bad News Bears', 'Triumph', 'Singularity', 'iNTACT'",797,20767,-500,0.96,0.94
neaLaN,"'K23', 'Syman'",1047,27900,-1277,0.93,0.94
repo,"'PRIDE', 'ESC', 'AGG', 'Vexed'",505,13254,-657,0.93,0.94
DANZ,"'Kanga', 'Corvidae', 'AVANT'",391,10173,-620,0.92,0.93
emi,"'Valiance', 'Binary Dragons', 'iNation'",1067,27762,-1223,0.94,0.93
Duplicate,"'SKADE', 'FATE'",804,21453,-1029,0.93,0.93
hutji,'Vega Squadron',453,12010,-664,0.92,0.93
crisby,"'ALTERNATE aTTaX', 'EURONICS', 'Unicorns of Love'",1209,31542,-1813,0.92,0.93
matty,"'EC Brugge', 'Izako Boars'",536,14203,-696,0.93,0.93
mynio,"'Wisla Krakow', 'Anonymo'",768,20598,-1225,0.92,0.93
SkulL,"'Genuine', 'Taboo', 'Masterminds', 'Chiefs'",596,15590,-1057,0.91,0.93
quix,"'Lilmix', 'Vexed', 'Publiclir.se'",930,24640,-1792,0.90,0.93
ztr,"'Young Ninjas', 'NIP'",381,10224,-571,0.92,0.93
kiR,'Tricked',558,15039,-957,0.91,0.93
TACO,"'GODSENT', 'SK', 'MIBR', 'Liquid', 'Luminosity'",1384,35965,-1346,0.94,0.93
aVN,"'4glory', 'lvlUP', 'BLUEJAYS', 'Juggernauts'",550,14647,-696,0.93,0.92
S0tF1k,"'Spirit', 'Espada'",1289,33952,-1903,0.92,0.92
hitMouse,"'Nemiga', 'K29'",538,14028,-625,0.93,0.92
arki,'SAW',865,22719,-1188,0.92,0.92
Xp3,"'Winterfox', 'Denial', 'ELEVATE'",502,13113,-792,0.91,0.92
sorrow,"'Unique', '100PG'",382,10245,-659,0.91,0.92
pNshr,"'Windigo', 'ex-Outlaws'",595,15532,-809,0.92,0.92
MSL,"'Dignitas', 'North'",1716,44836,-3251,0.90,0.92
SANJI,"'Virtus.pro', 'AVANGAR', 'Syman'",743,19879,-998,0.92,0.92
akez,"'777', 'Apeks'",471,12758,-882,0.90,0.92
ncl,"'TheMongolz', 'TIGER', 'Mazaalai'",516,13234,-617,0.93,0.92
Luz,"'PRIDE', 'Izako Boars'",650,17062,-971,0.92,0.92
Zeus,'Natus Vincere',1405,37152,-1990,0.92,0.92
nak,"'Sharks', 'RED Canids'",514,13305,-671,0.92,0.92
arya,"'Splyce', '3sUP'",440,11291,-868,0.89,0.92
Dav,"'Squared', 'ONYX'",439,11340,-752,0.90,0.92
karrigan,"'FaZe', 'MOUZ', 'TSM'",1985,52027,-3477,0.90,0.91
pietola,'KOVA',383,10178,-592,0.91,0.91
svyat,"'Hard Legion', 'DreamEaters', 'AVE'",734,19717,-1060,0.92,0.91
BTN,'Nexus',1053,27584,-2026,0.90,0.91
xartE,"'SJ', 'HAVU', 'ENCE', 'hREDS'",1151,30254,-1635,0.92,0.91
tecek,"'Izako Boars', 'x-kom', 'VenatoreS'",376,9987,-838,0.88,0.91
LEGIJA,"'BIG', 'MOUZ', 'NRG'",869,22614,-1671,0.90,0.91
roman,"'Nemiga', 'K29'",414,10880,-664,0.91,0.91
Shara,"""spray'n'pray"", 'FlipSid3'",383,9929,-742,0.90,0.91
wayLander,"'FlipSid3', 'pro100', 'Winstrike'",794,20857,-1715,0.89,0.91
BONA,"'SJ', 'VITALIS', 'hREDS'",476,12674,-943,0.89,0.91
sAw,"'HAVU', 'iGame.com', 'RCTIC'",1267,33681,-2108,0.91,0.90
kRYSTAL,"'PENTA', 'ALTERNATE aTTaX', 'GODSENT'",1858,48588,-3407,0.90,0.90
MiGHTYMAX,'Endpoint',1163,30802,-2009,0.90,0.90
ben1337,"'Party Astronauts', 'New England Whalers', 'High Coast'",923,24088,-1761,0.89,0.90
crush,"'pro100', 'Vega Squadron', 'HellRaisers'",729,19205,-1467,0.89,0.90
balblna,"'Quantum Bellator Fire', 'Winstrike'",611,16017,-1233,0.89,0.90
sycrone,"'Sprout', 'North Academy', 'Tricked', 'Team123'",553,14608,-978,0.90,0.90
nkl,"'E-frag.net', 'GPlay', 'MK', 'Orbit'",642,16554,-1046,0.91,0.90
hooch,"'EPG', 'Gambit'",894,23450,-1802,0.89,0.90
Golden,"'fnatic', 'fnatic Academy', 'Cloud9'",872,23212,-2006,0.88,0.90
lunAtic,'PACT',884,24035,-1729,0.89,0.90
Adam9130,"'Into the Breach', 'GamerLegion', 'Vexed'",436,11743,-1077,0.87,0.90
FNS,"'CLG', 'TSM'",953,25080,-1794,0.89,0.89
spiker,"'Monolith', 'PiTER', 'Empire', 'Rebels'",415,10974,-974,0.88,0.89
JiNKZ,"'3DMAX', 'Heretics'",542,14411,-1193,0.88,0.89
MAiNLiNE,"'Enemy', 'Selfless', 'eUnited', 'Method'",437,11092,-1064,0.87,0.89
Psycho,"'Run or Die', 'Project X', 'CR4ZY', 'Akuma', 'Windigo Academy'",500,13349,-1069,0.88,0.89
pronax,"'fnatic', 'GODSENT'",1199,31403,-2267,0.89,0.89
Polen,'Mythic',435,11470,-978,0.88,0.89
ScrunK,"'ALTERNATE aTTaX', 'expert', 'EURONICS'",905,24046,-2454,0.86,0.88
Lambert,"'LDLC', 'EnVyUs Academy'",775,20411,-1581,0.88,0.88
LeX,"'Mythic', 'Winterfox', 'Luminosity'",463,11937,-1263,0.85,0.88
torben,'Fragsters',532,13939,-1196,0.87,0.88
JD,"'madlikewizards', 'Athletico', 'TRUCKERS WITH ATTITUDE', 'Airborne', 'Noxide'",374,9620,-1105,0.85,0.88
seang@res,"'Cloud9', 'Misfits', 'Echo Fox'",713,18391,-1629,0.87,0.88
daps,"'NRG', 'OpTic', 'Gen.G'",1075,28101,-2364,0.87,0.88
advent,"'ViCi', 'VG.CyberZen'",1072,27530,-2044,0.88,0.87
flowsicK,"'Denial', 'Winterfox', 'Liquid'",395,10074,-1047,0.86,0.87
BERRY,"'Ambush', 'OPAA'",801,20959,-2342,0.85,0.87
birdfromsky,"'ECSTATIC', 'Lyngby Vikings'",774,20813,-2024,0.86,0.87
nawrot,"'AVEZ', 'Izako Boars'",603,16182,-1737,0.85,0.87
HooXi,'Copenhagen Flames',798,21225,-2206,0.85,0.87
def,"'pro100', 'ACG'",605,15797,-1593,0.85,0.86
djL,"'Chaos', 'Japaleno', 'Red Reserve'",688,18180,-1735,0.86,0.86
Devilwalk,"'fnatic', 'Epsilon'",400,10494,-1101,0.85,0.86
Twista,"'RCTIC', 'iGame.com', 'LGR'",380,9970,-1149,0.84,0.85
gob b,"'BIG', 'MOUZ', 'NRG'",975,25707,-2811,0.84,0.85
Slemmy,"'Complexity', 'Cloud9', 'Selfless'",445,11663,-1313,0.83,0.85
SolEk,"'ALTERNATE aTTaX', 'Berzerk'",377,9498,-1285,0.81,0.84
PASHANOJ,"'Unique', 'ex-ETHEREAL'",599,15675,-2251,0.80,0.84
B1ad3,'FlipSid3',899,23232,-3408,0.80,0.83
netrick,"'AGF', 'unknown', 'LPSP', 'Forcebuy'",455,11976,-1736,0.80,0.82
HUNDEN,"'Tricked', 'ALTERNATE aTTaX'",1578,41153,-6238,0.78,0.81
RuFire,"'SG.pro', '5balls', 'VP.Prodigy'",384,10185,-1927,0.74,0.78
OCEAN,"'subtLe', 'SKDC', 'Splyce'",410,10602,-1962,0.74,0.77
