Name,Teams Played In,Number of Maps Played,Number of Rounds Played,Kill Death Difference,K/D Ratio,HLTV Rating
DD,"'TYLOO', 'OneThree'",913,23620,+1521,1.10,1.07
NikkeZ,"'Ground Zero', 'Athletico', 'Legacy'",399,10276,+556,1.08,1.06
chelo,"'MIBR', 'INTZ', 'Luminosity'",880,22771,+1409,1.09,1.06
snatchie,"'AGO', 'Virtus.pro', 'Sprout'",1557,41766,+2469,1.09,1.06
zhokiNg,"'ViCi', 'VG.CyberZen'",1209,30839,+1481,1.07,1.06
b1t,"'Natus Vincere', 'NAVI Junior'",432,11477,+861,1.12,1.06
roeJ,"'Copenhagen Flames', 'MAD Lions', 'Tricked'",877,23164,+1371,1.09,1.06
ofnu,"'Tainted Minds', 'Chiefs', 'AVANT', 'Winterfox'",852,21778,+1380,1.10,1.06
AnJ,"'NRG', 'Singularity', 'Tricked'",403,10503,+763,1.11,1.06
Ethan,"'NRG', 'CLG', 'Evil Geniuses'",986,25998,+1488,1.09,1.06
Happy,"'Envy', 'LDLC'",1464,37933,+2745,1.11,1.06
acoR,"'Tricked', 'North Academy', 'MAD Lions', 'MOUZ'",1057,27637,+1982,1.11,1.06
flying,'Invictus',402,10750,+555,1.08,1.06
SHiPZ,"'SKADE', 'Windigo'",1653,44052,+2145,1.07,1.06
COLDYY1,'Spirit',947,24917,+1718,1.11,1.06
SLOWLY,"'TYLOO', 'EHOME'",523,13867,+679,1.07,1.06
Valiance,"'ORDER', 'Paradox'",646,16727,+1090,1.10,1.06
b4rtiN,"'GODSENT', 'TeamOne'",519,13592,+889,1.10,1.06
Skadoodle,'Cloud9',1047,27129,+2458,1.15,1.06
pancc,"'W7M', 'Sharks'",581,15327,+787,1.08,1.06
Maka,"'Heretics', 'LDLC', '3DMAX'",1177,31287,+2089,1.10,1.06
koosta,"'CLG', 'Ghost', 'Gen.G', 'Enemy'",977,25766,+1341,1.08,1.06
suNny,"'ENCE', 'MOUZ', 'PENTA'",1311,34560,+1609,1.07,1.06
tucks,'Chiefs',718,18208,+1227,1.10,1.06
TOR,"'Signature', 'Beyond'",452,11472,+657,1.09,1.06
olofmeister,"'fnatic', 'FaZe'",1560,40776,+2696,1.10,1.06
malbsMd,"'TeamOne', 'Infinity'",525,13434,+369,1.04,1.06
nexa,"'G2', 'Valiance', 'Imperial'",1231,32586,+2160,1.10,1.05
Gratisfaction,"'Grayhound', 'Renegades', '100 Thieves', 'Immunity', 'EXTREMUM'",897,23347,+1689,1.12,1.05
KEi,"'AVEZ', 'Anonymo', 'Sprout'",633,17036,+650,1.05,1.05
REDSTAR,"'Fiend', 'Bpro'",618,16408,+1150,1.11,1.05
Rainwaker,'SKADE',1085,29262,+1894,1.10,1.05
rallen,"'Kinguin', 'AGO'",1749,46699,+2997,1.10,1.05
bottle,"'Born Of Fire', 'Eclipse', 'Invictus', '5POWER', 'CyberZen'",768,19801,+871,1.06,1.05
ISSAA,"'HellRaisers', 'OG'",870,22834,+1402,1.09,1.05
tabseN,"'BIG', 'PENTA', 'MOUZ'",1912,50478,+1552,1.04,1.05
zeph,"'ORDER', 'Chiefs', 'Ground Zero'",555,14146,+585,1.06,1.05
Sobol,"'Wisla Krakow', 'PACT'",784,21196,+1115,1.08,1.05
iM,"'GamerLegion', 'Nexus'",766,20549,+833,1.06,1.05
JW,'fnatic',1932,50772,+2519,1.07,1.05
Ramz1kBO$$,"'Tengri', 'Syman'",425,11070,+553,1.07,1.05
HZ,"'TYLOO', 'CyberZen', 'AllGamers'",500,12856,+691,1.08,1.05
cajunb,"'North', 'TSM', 'OpTic', 'Dignitas'",1745,45680,+2884,1.10,1.05
mou,"'Gambit', 'K23', 'HellRaisers', 'Syman'",1489,39475,+2484,1.10,1.05
sdy,'Spirit',1054,27638,+1872,1.11,1.05
KRIMZ,'fnatic',1772,46627,+3043,1.10,1.05
Marcelious,"'Apeks', '777', 'NOREG'",464,12520,+627,1.08,1.05
TeSeS,"'Heroic', 'Copenhagen Flames'",812,21706,+1011,1.07,1.05
yay,"'Complexity', 'Orgless'",653,17182,+604,1.05,1.05
Grim,"'Liquid', 'Triumph', 'Dignitas', 'Spacestation'",875,23028,+746,1.05,1.05
Qikert,"'AVANGAR', 'Virtus.pro'",1246,32938,+1993,1.09,1.05
stavn,"'Heroic', 'Fragsters'",1100,29323,+1412,1.07,1.05
juanflatroo,"'BLINK', 'Secret'",544,14533,+402,1.04,1.05
SicK,"'Rogue', 'Misfits', 'TSM'",795,20701,+1040,1.07,1.05
NEEX,"'Izako Boars', 'ESC'",429,11195,+574,1.08,1.05
Aerial,"'HAVU', 'ENCE'",943,25018,+1217,1.07,1.05
loWel,"'Movistar Riders', 'PENTA', 'MOUZ'",1008,26413,+1739,1.10,1.05
Flarich,"'HellRaisers', 'pro100'",1058,28161,+1801,1.10,1.05
raafa,"'W7M', 'Keyd'",640,16832,+1092,1.10,1.05
