Ingame Name,Real Name,Current Team,Age,Total Kills,Headshot %,Total Deaths,K/D Ratio,Damage / Round,Greande Damage / Round,Maps Played,Rounds Played,Kills / Round,Assists / Round,Deaths / Round,Saved by Teammates / Round,Saved Teammates / Round,Rating
lollipop21k,Igor Solodkov,Websterz,26 years,25430,48.9%,22967,1.11,81.4,3.7,1272,34113,0.75,0.13,0.67,0.09,0.1,1.13
DJOXiC,Đorđe Niciforović,GamerS1337,30 years,9002,29.8%,7798,1.15,73.0,2.9,489,12531,0.72,0.1,0.62,0.09,0.1,1.08
dennyslaw,Denislav Dimitrov,500,23 years,26203,31.4%,22974,1.14,74.4,3.0,1340,36119,0.73,0.1,0.64,0.08,0.1,1.12
Detrony,Dimitri Hadjipaschali,N/A,32 years,7633,34.7%,6771,1.13,77.4,4.4,412,10449,0.73,0.13,0.65,0.1,0.09,1.08
faveN,Josef Baumann,BIG,23 years,27730,54.3%,24584,1.13,78.3,3.3,1412,37730,0.73,0.12,0.65,0.1,0.12,1.13
ZOREE,Lasse Uronen,JANO,29 years,33635,32.9%,29245,1.15,73.6,3.8,1763,46867,0.72,0.1,0.62,0.08,0.1,1.08
Machinegun,Enkhtaivan Lkhagva,NKT,32 years,8352,50.3%,7676,1.09,81.4,3.2,431,10994,0.76,0.13,0.7,0.08,0.09,1.08
Attacker,YuanZhang Sheng,TYLOO,26 years,24761,46.4%,22069,1.12,79.2,2.3,1294,33272,0.74,0.14,0.66,0.11,0.11,1.08
Spinx,Lotan Giladi,Vitality,22 years,10180,55.5%,9040,1.13,77.6,3.4,525,14004,0.73,0.11,0.65,0.08,0.1,1.11
valde,Valdemar Bjørn Vangså,ENCE,27 years,25237,46.8%,22372,1.13,79.6,5.0,1299,34539,0.73,0.14,0.65,0.1,0.1,1.08
keev,Kevin Bartholomäus,N/A,31 years,11408,29.1%,10191,1.12,73.6,2.8,594,15524,0.73,0.09,0.66,0.08,0.08,1.08
sergej,Jere Salo,GORILLAZ,20 years,14855,48.2%,13039,1.14,79.3,4.0,776,20425,0.73,0.14,0.64,0.1,0.11,1.13
cynic,David Polster,Nouns,23 years,16055,40.1%,14207,1.13,80.3,5.7,835,21818,0.74,0.14,0.65,0.1,0.11,1.13
felps,João Vasconcellos,Fluxo,26 years,21900,43.4%,20097,1.09,84.6,3.6,1122,28812,0.76,0.16,0.7,0.1,0.09,1.08
k0nfig,Kristian Wienecke,Ninjas in Pyjamas,25 years,32019,55.6%,29543,1.08,80.8,2.9,1610,42667,0.75,0.13,0.69,0.09,0.1,1.08
mezii,William Merriman,fnatic,24 years,11643,50.0%,10272,1.13,79.5,5.4,602,16224,0.72,0.14,0.63,0.09,0.12,1.13
gxx-,Genc Kolgeci,Bad News Eagles,23 years,8816,30.7%,7492,1.18,70.3,2.7,468,12517,0.7,0.08,0.6,0.08,0.09,1.09
ShahZaM,Shahzeb Khan,N/A,29 years,18509,34.0%,16451,1.13,74.8,2.4,966,25252,0.73,0.1,0.65,0.09,0.1,1.08
junior,Paytyn Johnson,Complexity,22 years,9370,29.3%,7984,1.17,71.2,2.2,508,13273,0.71,0.09,0.6,0.08,0.1,1.1
FL1T,Evgenii Lebedev,Outsiders,22 years,25957,46.6%,22947,1.13,80.4,4.4,1318,35489,0.73,0.13,0.65,0.09,0.11,1.13
